,Name,Prep Time,Cook Time,Total Time,Ingredient,Number of Ingredient,Method,Number of cooking step
770,Grilled Ginger Sesame Pork Tenderloin Recipe,10,80,90,"['1 to 1 1/4 pound pork tenderloin, trimmed of silver-skin', '1 inch piece peeled ginger root, sliced into coins', '3 cloves garlic, peeled', '1/4 cup soy sauce (use gluten-free soy sauce if cooking gluten-free)', '2 teaspoons brown sugar', '1/3 cup minced green onions', '1/4 cup minced cilantro (including tender stems)', '2 tablespoons seasoned rice vinegar', '2 tablespoons extra virgin olive oil', '1 teaspoon toasted sesame oil']",10,"['1 Make the marinade: Put the ginger and garlic into a mini-chopper or food processor. Pulse until finely chopped. Remove to a bowl. Add the soy sauce, brown sugar, green onions, cilantro, seasoned rice wine vinegar, olive oil, sesame oil. Stir to combine.', 'Remove and reserve (for basting) 1/4 cup of this marinade.', '2 Marinate the pork tenderloin: Place pork tenderloin into a marinating bag or bowl and cover with the remaining marinade. Marinate at room temp for an hour, while you prepare your grill.', '3 Prepare the grill: Prepare your grill for both direct and indirect heat. When your grill is ready (you should be able to hold your hand an inch above the grill grates on the hot side for only one second), remove the tenderloin from the marinade and brush the tenderloin with olive oil.', '4 Sear tenderloin on all sides on high direct heat: Place tenderloin on grill on direct high heat. After the tenderloin sears on one side, turn it to sear on another side.', 'Keep turning until the tenderloin has been nicely browned on all sides. Baste the tenderloin with reserved marinade while you grill it.', '5 Move to cooler side of the grill and cover: Once all side have been nicely browned, move the tenderloin to the cooler side of the grill. Cover and cook for 5 to 10 minutes more until just done.', 'Remove from grill when the internal temperature of the tenderloin is no more than 140\\xc2\\xb0F.', '6 Tent with foil and let rest: Tent with foil and let rest for 10 to 15 minutes.', '7 Slice and drizzle with reserved marinade to serve: Slice and arrange on a serving plate, drizzle with remaining reserved marinade. Serve with bok choy, rice, asparagus, or snap peas.']",10
771,Slow Cooker Cider Pulled Pork Recipe,30,505,535,"['For the rub:', '2 1/2 tablespoons brown sugar, packed', '2 1/2 tablespoons Kosher salt', '1 1/2 teaspoons pumpkin pie spice (or 1 teaspoon cinnamon, 1/4 teaspoon ground ginger, 1/4 teaspoon ground cloves, and a dash of nutmeg)', '1 1/2 teaspoons chili powder', '1 1/2 teaspoons freshly ground black pepper', '1 teaspoon ground dry mustard', '1/4 teaspoon cayenne pepper', 'For the pork:', '6 pound boneless pork shoulder, trimmed of excess fat', '1 (12-ounce) bottle hard apple cider', '2 cups apple cider', 'For the sauce:', '2 tablespoons tomato paste', '3 garlic cloves', '3/4 cup ketchup', '1/2 cup brown mustard', '1/3 cup brown sugar', '1/4 cup apple cider vinegar', '1/4 cup Worcestershire sauce', '2 teaspoons liquid smoke', '3/4 teaspoon Kosher salt', '2 cups pork stock leftover from braising', 'Special equipment:', '6-quart slow cooker']",25,"['1 Make the rub and prep the pork: In a small bowl, combine all of the ingredients for the rub. Trim your pork shoulder of excess exterior fat. Massage the rub into the meat.', '2 Slow cook the pork: Place the pork in a 6-quart slow cooker. Pour in both ciders. The liquid should come about 3/4 of the way up the side of the meat; the meat should not be completely submerged.', 'Cover with the lid, and set slow cooker to low heat for at least 8 hours.', '3 Cool the pork and refrigerate overnight: Let the pork with the cooking liquid cool completely while still in the slow cooker insert on the counter. Transfer the pork to a cutting board and pour the cooking liquid into a separate storage container.', ""Transfer the pork back to the slow cooker insert and cover. Refrigerate the pork and the cooking liquid overnight or up to three days. (Refrigerating the pork whole, rather than shredded, helps keep it moist and prevents it from drying out too much until you're ready to serve.)"", '4 Shred the pork: When ready to serve the pork, remove it and the cooking liquid from the refrigerator. Scrape any solidified fat from the outside of the pork and the surface of the cooking liquid.', 'Using your fingers or two forks, shred the pork. You can do this right in the slow cooker, on a sheet pan, or on a cutting board. Pick out and discard any large pieces of fat as you go.', '5 Warm the pork: Warm the shredded pork in the slow cooker on the Low or Warm setting while you prepare the sauce. If the pork seems dry at any point, stir in a few tablespoons of the leftover cooking liquid.', 'Alternatively, you can warm the pork on a sheet pan covered with foil in a low oven.', '6 Make the sauce: Measure out two cups of the leftover cooking liquid. The remainder can be strained and saved for another purpose, or frozen for up to three months.', 'In a medium saucepan over medium heat, add the tomato paste and garlic. Whisk together and cook for about 1 minute until fragrant. Whisk in the remaining ingredients, finishing with the reserved 2 cups of cooking liquid.', 'Increase heat to medium high and bring to a gentle boil. Reduce the sauce, whisking occasionally until it has the viscosity of thick tomato soup, but not as thick as ketchup, about 15 minutes. Taste and adjust the seasoning as you wish.', '7 Serve the pork: Reserve about 1/2 cup of sauce to serve in a small bowl alongside the pork. Pour the rest of the sauce over the pork, toss to combine, and serve it to the masses.', 'Place a pile of pork on top of buttered, toasted buns, top with pickles, pickled onions, or extra sauce, and dig in.']",14
772,Sweet Potato & Pork Thanksgiving Stuffing Recipe,45,40,85,"['Stuffing ingredients:', '2 large (8 to 10 ounce) sweet potatoes, peeled and cut into 1/2-inch cubes', '3 tablespoons olive oil, ghee, or duck fat (divided)', '2 pounds ground pork', '1 cup diced yellow onion (from 1/2 medium onion)', '1 cup diced carrots (from 1 large carrot or 2 small carrots)', '1 cup diced celery (from 2 to 3 celery stalks)', '1/2 cup port or sweet sherry', '2 large pears, peeled and diced', '1 cup dried cranberries or cherries (optional \\xe2\\x80\\x93 leave this out if you\\xe2\\x80\\x99re avoiding sugars)', '1 cup chopped fresh herbs (I used 3/4 cups flat parsley and 1/4 cup mixed fresh sage, chervil, and thyme).', '3 large eggs', 'Pecan crumble ingredients:', '1 1/2 cups unsalted pecans', '1/4 cup dried cranberries or cherries', '1 tablespoon olive oil, ghee, or duck fat (room temperature, if it was in the refrigerator)', '2 to 3 cloves garlic, peeled and roughly chopped', '1/4 cup fresh herbs (I used mostly parsley with just a couple rosemary needles and a few thyme leaves)', '1/4 teaspoon salt', '1/4 teaspoon black pepper ']",20,"['1 Roast the sweet potatoes: Preheat oven to 425F and line a large baking sheet with parchment or a Silpat. Toss the sweet potato cubes with 1/2 tablespoon of your cooking fat (if it is ghee or duck fat, melt it first) and sprinkle with salt and pepper.', 'Spread them evenly on the baking sheet and roast for 20 minutes, stirring the potatoes halfway through the cooking time.', 'When done, they should be golden brown and easily pierced with a fork.', '2 Brown the meat: While sweet potatoes are roasting, melt another tablespoon of your cooking fat in a large skillet over medium-high heat.', 'Brown the ground pork in 2 to 3 batches. Break up the pork as it cooks to make small crumbles. Cook until the meat is well-browned and no longer pink, 5 to 7 minutes per batch. Add additional cooking fat as needed if the pan becomes dry.', 'As each batch is finished, transfer it to a large bowl with a slotted spoon.', '3 Saut\\xc3\\xa9 the vegetables: In the same skillet used for the pork, melt a small amount (1 to 2 teaspoons) of cooking fat. Add the diced onion, carrot, and celery to the hot skillet.', 'Season with salt and saut\\xc3\\xa9 for 5 to 7 minutes or until the onions begin to turn translucent. Transfer to the bowl with the pork.', '4 Deglaze the pan: Place the empty pan back over high heat and add the port. Simmer the port for about a minute, scraping up any browned bits that have gotten stuck to the bottom of the pan. Pour the port over the vegetables and pork in the bowl.', '5 Heat the oven to 350F. Grease a 9x13-inch or other 3-quart baking dish.', '6 Combine the stuffing ingredients: Add the roasted sweet potatoes, saut\\xc3\\xa9ed veggies, pears, cranberries, and herbs to the bowl with the browned meat. Mix well. Taste and add more salt, pepper, or herbs, if needed.', 'At this point, the stuffing can be covered and refrigerated for 1 to 2 days before cooking.', ""When you're ready to bake the stuffing, add the eggs and mix thoroughly to combine. Transfer the stuffing to the greased baking dish and spread into an even layer."", '7 Bake the stuffing for 20 minutes, uncovered.', '8 Prepare the pecan crumble topping: While the stuffing cooks, pulse all ingredients in a food processor until the mixture is crumbly. Be careful not to over process or you\\xe2\\x80\\x99ll end up with garlicky nut butter!', ""9 Top the stuffing with the crumble: Remove the stuffing from the oven and scatter the pecan crumble evenly over the top. Bake for 20 more minutes, uncovered. The top should be toasted and smell very fragrant. (If you're not adding the pecan crumble, just bake the stuffing for 30 minutes total.)"", '10 Cool and serve: Let the stuffing cool briefly before serving.']",17
773,Santa Fe Pork and Black Bean Stew Recipe,15,130,145,"['2 tablespoons extra virgin olive oil', '2 pounds of pork shoulder, trimmed of excess fat, cut into 1 1/2-inch cubes', '1 teaspoon kosher salt', '1 large onion, chopped (about 2 cups)', '4 cloves garlic', '1-2 jalape\\xc3\\xb1o chili peppers, less or more to taste, seeded, stems removed', '2 tablespoons cornmeal', '1 teaspoon ground cinnamon', '2 teaspoons ground cumin', '1 teaspoon dried oregano', '1/2 teaspoon cayenne (less or more to taste)', '1 1/2 tablespoons molasses', '1 red bell pepper, diced, about 3/4 cup', '2 long 1-inch wide strips of orange zest (optional)', '1 cup water', ""1 15-ounce can black beans (we recommend Bush's or S&W premium), liquid included"", 'More salt to taste', '1 to 2 limes', 'Cilantro for garnish']",19,"['1 Sprinkle 1 teaspoon salt over the pork pieces and let sit while you prep the other ingredients.', '2 Brown the pork: Heat 2 Tbsp olive oil in a thick-bottomed stew pot on medium high heat. Add the pork pieces to the pot and brown them on all sides.', '3 Add the onions: Once the pork pieces have browned, add the chopped onions to the pot with the pork. Lower the heat to medium and cook until the onions are translucent, about 7-10 minutes more.', '4 Make garlic jalape\\xc3\\xb1o spice mixture: As the onions are cooking, work on the garlic spice mixture. Place the garlic and the jalape\\xc3\\xb1os in the bowl of a food processor and pulse until minced. Then add the oregano, cumin, cinnamon, cayenne, and cornmeal and pulse everything until ground.', '5 Add spice mixture to pork and onions: Once the onions are cooked, add the spice mixture to the pork and onions.', '6 Add molasses, bell pepper, zest, cover and cook: Add the molasses, bell pepper, orange zest (if using), and water to the pot. Bring it to a simmer and then reduce the heat to the lowest setting. Cover and let cook until the pork is completely tender, about 1 1/2 hours. Stir occasionally and scrape up any browned bits stuck to the bottom of the pot.', '7 Remove zest, add black beans: When pork is tender, remove the orange zest and add the black beans to the pot and cook for 20 minutes more on low heat.', '8 Remove from heat, and stir in the lime juice. Add more salt to taste.', 'Serve garnished with fresh cilantro. Great with warm corn tortillas.']",9
774,Italian Wedding Soup Recipe,40,20,60,"['For the meatballs:', '1 small soft dinner roll or 2 slices white bread, torn into 1-inch pieces', '1/4 cup milk (any kind)', '1 large egg', '8 ounces ground beef', '8 ounces ground pork', '1/4 cup chopped fresh parsley', '1/2 cup freshly grated Parmesan', '1 small onion, very finely chopped', '1 clove garlic, crushed', '1 teaspoon salt', '1/2 teaspoon pepper ', 'For the soup:', '3/4 cup tiny pasta, such as Israeli or pearl semolina couscous, orzo, ditalini, or acini de pepe', '2 quarts chicken stock', '1/2 head or bunch escarole, Swiss chard, or kale, stemmed and cut into 1-inch pieces', '1 cup freshly grated Parmesan, for serving']",17,"['1 Cook the pasta: In a soup pot, bring a generous amount of water to a boil. Add a pinch of salt and the pasta.', 'Let the water return to a boil, lower the heat, and let the pasta bubble steadily for 6 minutes, or until it is almost tender and still has a slight crunch in the middle. Drain the pasta and transfer to a bowl; set aside.', '2 Soak the bread pieces: While the pasta water is coming to a boil and the pasta is cooking, mix the bread pieces with the milk or water in a large bowl.', 'Use your fingers to work the milk into the bread, like a sponge. Set aside for 10 minutes. Again, using your fingers, work the mixture until it forms a paste. Stir in the egg until incorporated.', '3 Make the meatball mixture: To the bowl with the bread and egg mixture, add the remaining meatball ingredients. With a spoon or your hands, work the mixture until it is well blended.', '4 Shape the meatballs: Set a bowl of cold water on the counter. Dip your hands into the water. Use a spoon to scoop out tablespoon-size pieces of the mixture, then dip your hands into the water after every few meatballs to keep them from sticking to your hands.', 'Shape into rounds with your hands and transfer to a plate. Continue until all the mixture is used; you should have about 28 to 30 meatballs.', '5 Cook the meatballs: Add the stock to the soup pot used to cook the pasta and bring to a boil. Use a long metal spoon to add the meatballs to the soup, several at a time.', 'Return the liquid to a boil, lower the heat, and cover the pan. Simmer for 5 minutes.', '6 Finish the soup: Add the greens to the stock pot, pressing with a soup ladle to submerge them. Add the pasta. Return to a boil, lower the heat, and cover the pan.', 'Cook for 3 minutes, or until the greens and pasta are tender and the meatballs are cooked through.', 'Taste the broth for seasoning and add more salt and pepper, if you like. Ladle into bowls and serve with Parmesan.']",12
775,Arroz con Tocino (Puerto Rican Rice with Salt Pork) Recipe,10,40,50,"['2 cups white rice', '1 pound salt pork, or thick cut bacon, diced', '1 cup white onion, minced', '3 cloves garlic, minced', '1 heaping tablespoon recaito seasoning base, store-bought or homemade', '3 3/4 cups water', '1/4 teaspoon black pepper', 'Cilantro, to garnish', 'To Serve:', '1 large egg per serving, if desired']",10,"['1 Rinse the rice: In a fine mesh colander or strainer, rinse the rice under cold running water until the water runs clear. This step eliminates additional starch which may cause the rice to become gummy. Set the colander aside and allow the rice to drain thoroughly.', ""2 Blanch the pork: Place the pork in simmering water for 15 minutes. After cooking, rinse off the pork and allow it to cool before proceeding. (If you're using bacon, you can skip this step.)"", '3 Render the fat from the pork: In a heavy bottomed pot or Dutch oven, render the fat from the diced pork over medium heat for 4 to 6 minutes, or until golden brown and crisp. Remove the pork pieces from the pot using a slotted spoon and drain on paper towels.', '4 Cook the onions, garlic, and recaito. Drain all but 2 tablespoons of pork fat from the pot. Add the onions and cook for 2 minutes, or until glossy. Add the minced garlic and recaito to the onions, and cook for an additional minute until fragrant.', '5 Combine the rice, onion and pepper. Add the drained rice to the pot and stir to combine the rice and onion mixture and to coat the rice with the fat. Continue to stir, toasting the rice for about a minute. Add the water and pepper, then bring to a boil.', '  6 Steam the rice. Once the water has started boiling, reduce the heat to low. Place a sheet of aluminum foil over the pot. Make sure the foil has about 2\\xe2\\x80\\x9d in overhang. Place the lid onto the pot and press down. This addition of foil creates a more air-tight seal which helps to steam the rice perfectly.', 'Cook the rice for twenty minutes without removing the lid. Remove the lid and check that the rice is done; recover and continue to steam if needed. Once the rice has cooked fully, remove the lid and fluff with a spoon or a large fork.', '  7 Combine the pork, rice and cilantro. Fold the reserved pieces of pork in the cooked rice and garnish with cilantro, if desired.', '8 Top with a fried egg. When ready to serve, fry an egg in your preferred style (I like mine sunny-side up) and serve atop a heaping portion of the rice.']",9
776,Sausage Meatballs with Ricotta in Tomato Sauce Recipe,15,90,105,"['10 ounces ground pork shoulder', '10 ounces sweet Italian sausage, removed from casing', '2 ounces prosciutto or pancetta, minced (helps to put in freezer for 15 min first, before mincing, will make it easier to cut)', '4 cups cubed white bread, crusts removed first.', '1/2 cup chopped fresh flat-leaf parsley', '1 teaspoon dried oregano', '1 teaspoon fennel seeds', '1/2 teaspoon red pepper flakes', '1 1/2 teaspoons Kosher salt', '2/3 cup ricotta cheese', '3 eggs, lightly beaten', 'Extra virgin olive oil', '1 28-ounce can crushed tomatoes (high quality, either San Marzano or Muir Glen)', '1/4 cup chiffonaded* fresh basil leaves', '1/2 cup freshly grated Parmesan cheese']",15,"['1 In a large bowl, add the pork, Italian sausage, prosciutto or pancetta, bread cubes, parsley, oregano, fennel, red pepper flakes, and salt. Use your hands to mix until the ingredients are evenly distributed. Do not over-work.', '2 Incorporate eggs and ricotta: Whisk the beaten eggs and ricotta together in a separate bowl until there are no more large clumps of ricotta. Pour into the bowl of the meat mixture. Mix with your hands until just incorporated. Again, do not over-mix.', 'If you want, to test seasoning, you can take a small bit of the mix, form into a patty, and heat in a small skillet on the stovetop until cooked through. Depending on how this test patty tastes to you, add more herbs, chili, or salt to taste to the meat mixture. Keep meat mixture in refrigerator while doing this.', '3 Form meatballs and place in roasting pan: Preheat oven to 425\\xc2\\xb0F. Coat the bottom of a large roasting pan with olive oil. Form meatballs in your hand, about 1 1/2-inches in diameter, using about 3 Tbsp of the mixture to form each meatball. Arrange in pan so there is some space between them. If too crowded they will steam and not brown.', '4 Brown meatballs in the oven at 425\\xc2\\xb0F for about 30 minutes, turning the meatballs after about 20 minutes, until the meatballs are beginning to brown.', '5 Add crushed tomatoes, lower oven temp: Remove pan from oven. Use a metal spatula to dislodge meatballs from being stuck to the bottom of the pan. Add the crushed tomatoes to the pan. Carefully cover the pan with aluminum foil (carefully because the pan is still hot!)', 'Return the pan to the oven. Lower the oven temperature to 300\\xc2\\xb0F. Cook for an additional hour to 1 1/2 hours.', 'Sprinkle basil into sauce before serving.', 'Top with grated Parmesan.']",9
777,Spicy Pork Stew with Chickpeas and Sausage Recipe,20,180,200,"['1 tablespoon extra virgin olive oil', '3 pounds pork shoulder, cut into 1-2 inch chunks', 'Salt', '1 large onion, chopped', '1 large carrot, chopped', 'All of the cloves from 1 head garlic, peeled and chopped', '1 pound hot Italian sausage links (not loose) or Spanish chorizo (use gluten-free sausages for gluten-free option)', '1 15-ounce can crushed tomatoes', '3 1/2 cups water', '2 tablespoons sweet paprika', '1 teaspoon hot paprika (can sub 1/4 teaspoon red chili flakes)', '1-2 teaspoons smoked paprika', '2 15-ounce cans chickpeas, drained and rinsed', '1 bunch parsley, chopped']",14,"['1 Brown the pieces of pork shoulder in olive oil, sprinkle with salt: Heat the olive oil in a large pot over medium-high heat. Working in batches to ensure that you do not crowd the pan, brown the pieces of pork shoulder.', 'If there is a fatty side to a chunk of pork, put that side down on the pan to help render out the fat.', 'Sprinkle a little salt over the pork as it cooks. Once browned, set aside to a bowl.', '2 Saut\\xc3\\xa9 onions, carrots, garlic: Once the pork pieces have browned and have been removed from the pan, drain off all but a couple tablespoons of fat from the pan.', 'Add the chopped onions and carrots to the pan. Stir well and scrape up any bits from the bottom of the pot. Cook over medium-high heat until the onions start to brown.', 'Add the chopped garlic and cook for another minute.', '3 Add browned pork, sausage, tomatoes, water, paprikas, salt, then simmer 2 hours: Add the pork, the sausage, crushed tomatoes and water, then stir to combine. Stir in the various paprikas. Add salt to taste.', 'Bring to a simmer and cook for at least 2 hours, or until the pork shoulder is melt-in-your mouth tender.', '4 Cut up the sausage links and return to the pot, add chickpeas, parsley: Remove the sausages from the pot and cut them into chunks, then return them to the pot.', 'Add the chickpeas and parsley, stir well and adjust salt to taste. Cook for 5 minutes further.', 'Excellent served with crusty bread and red wine.']",11
778,"Sausage, Sage, and Cornbread Stuffing Recipe",20,40,60,"['1 recipe Southern cornbread, prepared and cooled (follow the gluten-free option, if needed)', '1 teaspoon canola oil (or other neutral, heat tolerant cooking oil)', '1 1/2 pounds sweet or mild Italian sausage (4 to 6 links), casings removed and broken into bite-sized pieces', '5 tablespoons unsalted butter, divided', '1 medium yellow onion, diced', '4 celery ribs, diced', '2 cloves garlic, minced', '3 tablespoons chopped fresh sage leaves', '3 tablespoons chopped fresh parsley leaves', '2 cups low-sodium chicken stock', '4 large eggs, lightly beaten']",11,"['1 Toast the cornbread cubes: Preheat oven to 350\\xc2\\xb0F. Cut the cornbread into 1/2-inch cubes; you should have about 8 cups. Spread them on a large rimmed baking sheet. Toast the cubes in oven for 10 minutes, flip, and toast 10 minutes more or until cubes look toasted and golden (about 20 minutes total). Let the cubes cool slightly, and then place in a large mixing bowl.', '2 Turn oven heat up to 375\\xc2\\xb0F. Butter a 9 x 13-inch baking dish with 1 tablespoon butter. Set aside.', '3 Brown the sausage: Set a large, deep-sided skillet over medium-high heat. Add the canola oil and then sausage. Use a spoon to break sausage into smaller hunks as it cooks. Cook until the sausage nicely browned on all sides, 7 to 10 minutes. Transfer the sausage to a bowl and pour off pork fat.', '4 Cook the onions and celery: Turn the heat to medium and add 4 tablespoons butter. Add onions, celery, and a pinch of salt. Cook 7 minutes or until very tender and fragrant. Add garlic and cook 1 minute more.', '5 Combine the stuffing ingredients: Spoon the onion mixture over the toasted cornbread. Fold in browned sausage, herbs, and stock. Taste and add salt as needed. Finally, fold in the eggs and mix until well combined. Some of the cornbread will crumble, which is fine.', '6 Spoon stuffing into buttered baking dish. At this point, stuffing can be covered and refrigerated for 1 day.', '7 Bake the stuffing: When ready, bake stuffing until piping hot and golden brown on top, 35 to 45 minutes. If the stuffing begins to brown too much on top during bake time, cover loosely with foil. Serve hot.']",7
779,"Risi e Bisi, Italian Rice and Peas Recipe",10,35,45,"['2 tablespoons extra virgin olive oil', '3 shallots, minced', '3 garlic cloves, minced', '1/4 pound diced prosciutto or other dry ham', '1 cup Arborio or other risotto rice', '2 cups vegetable or chicken stock', '2 or more cups water', '1 cup fresh or frozen peas', '1/2 cup parsley, chopped', '1/4 cup grated parmesan cheese']",10,"['1 Saut\\xc3\\xa9 shallots: Heat the olive oil in a medium-sized pot over medium-high heat. When it is hot, add the shallots and stir to combine. Let these saut\\xc3\\xa9 for 2-3 minutes.', '2 Heat stock and water: Meanwhile, heat up the stock and 1 cup of water in a small pot. You want this at a simmer while you make the rice.', '3 Add garlic and prosciutto to shallots: Add the garlic and the diced prosciutto to the pot with the shallots, stir well and cook for another 1-2 minutes.', '4 Add rice: Pour in the rice, stir again and saut\\xc3\\xa9 for 2-3 minutes, stirring constantly.', '5 Slowly ladle in stock: Ladle some of the hot stock into the pot and start stirring. Risi e bisi is cooked like risotto, and is supposed to be pretty soupy, so you need a lot of water and you need to stir it constantly. Let this first ladle of stock cook down before you add the next.', 'Keep adding stock, letting it cook down and stirring until you\\xe2\\x80\\x99re done with the simmering stock. It is likely that you may need at least one more cup of water to finish the dish, because all that stirring in an open pot means you evaporate more liquid than you would when you cook rice the normal way, i.e., covered. If you think you are going to need more water, add more to the simmering stock.', '6 When you get to this last cup of water, add the peas. Keep stirring until the water has almost cooked away. Taste some rice and test for salt and doneness: Add a little salt and some more hot tap water if the rice is still crunchy \\xe2\\x80\\x93 you want the rice to be a little al dente, but not so much you\\xe2\\x80\\x99re gnawing on raw grain.', '7 Add the parsley and the parmesan and mix well. Your finished rice should be slightly soupy, so it\\xe2\\x80\\x99s OK to add a tad more water before serving.']",8
780,Fettuccine with Creamy Tomato Italian Sausage Sauce Recipe,6,45,51,"['2 tablespoons extra virgin olive oil', '3 shallots, chopped', '2 large garlic cloves, chopped', '1/2 pound sweet Italian sausage, casings removed', '1/2 pound spicy or hot Italian sausage, casings removed', '1 cup whipping cream', '2 14.5-ounce cans diced tomatoes in juice', '1 tablespoon dried sage', '3/4 pound fettuccine', '1/2 cup grated Parmesan cheese']",10,"['1 Heat water for pasta: Put a large pot of salted water on to boil (1 Tbsp salt for every 2 quarts of water). While the pasta water is heating, prepare the sauce in the next step.', '2 Cook shallots and garlic: Heat olive oil in a large saut\\xc3\\xa9 pan on medium heat. Add the shallots and garlic and cook, stirring frequently, until beginning to soften, about 3 minutes.', '3 Add Italian sausage: Break up the sweet and spicy Italian sausages as you add them to the pan. Toss with the shallots, increase the heat to medium high, and cook until no longer pink, about 5 minutes.', '4 Stir in the cream and simmer for 5 minutes.', '5 Stir in the tomatoes, their juices, and the sage. Simmer for about 15 minutes, stirring occasionally, until the sauce thickens.', '6 Cook the pasta: The pasta water should be boiling by now. After the sauce has simmered for about 5 minutes, add the pasta to boiling salted water and cook, uncovered at a rolling boil, until the pasta is al dente, cooked through but still a little firm to the bite.', 'Reserve 1/2 cup of the pasta water and drain the pasta.', '7 Toss the pasta with the sauce and add a little of the reserved pasta water if dish seems dry.', 'Season with salt and pepper and sprinkle with cheese to serve.']",9
781,Grilled Bacon-Wrapped Stuffed Hot Dogs Recipe,10,11,21,"['1 teaspoon ketchup', '1 teaspoon Dijon mustard', '4 large hot dogs, knockwurst, or kielbasa', '1/2 ounce cheddar cheese, cut into long sticks', '2 tablespoons chopped onions', '1 cup prepared sauerkraut, drained, roughly chopped', '4 slices bacon', 'Vegetable oil', '4 long hot dog buns']",9,"['1 Prepare your grill for direct medium high heat.', '2 Slice open the hot dogs: Mix together the ketchup and mustard in a small bowl. In a separate bowl, mix the sauerkraut with the chopped onion, set aside.', 'Slice open the hot dogs, down the center, lengthwise, forming a deep pocket in each, but not cutting all the way through.', 'Coat the inside of each hot dog with the mustard ketchup mixture.', '3 Stuff the hot dogs: Place a strip of cheese deep within the pocket of each hot dog. Top with sauerkraut and onions.', 'Encapsulate the cheese at the ends with the sauerkraut mixture as well, so that no cheese is exposed (otherwise it will drip out when cooking).', '4 Wrap bacon around each hot dog: Wrap a strip of bacon around each stuffed hot dog, securing with toothpicks at each end.', 'Make sure you wrap tight enough so that the stuffing stays in, but not so tight so that when the hot dog expands will cooking the bacon would tear.', ""5 Grill the hot dogs: Brush the grates of your grill with vegetable oil so that the hot dogs don't stick. If you have a grill screen (a screen with smaller holes so that small pieces of whatever you're cooking don't fall through the grill), you can use it, just coat it with vegetable oil first and pre-heat for a couple of minutes."", 'Place the stuffed hot dogs on the grill, stuffing side down. Grill for 2 minutes, until the bacon on that side is cooked, turn the hot dogs a quarter turn and grill for a couple more minutes.', 'Continue to grill for a few minutes each on all sides until the bacon is cooked. Cover the grill in between turnings to help with the cooking.', '6 Grill the buns: During the last minute of cooking, open up the hot dog buns and place them open-side down on the grill to lightly toast.', '7 Serve: Remove the hot dogs and buns from the grill. Remove the toothpicks from the hot dogs. Place the hot dogs in the buns and serve.']",13
782,Chipotle Meatballs Recipe,25,20,45,"['Meatballs', '2 slices bacon, minced', '2 garlic cloves, minced', '2 large eggs', '1/2 cup bread crumbs', '1 1/2 teaspoons salt', '1 1/2 pounds ground pork', '2 teaspoons dried oregano or finely chopped fresh mint', '1-2 teaspoons chipotle powder (or a couple teaspoons of adobo sauce)', 'Sauce', '2 tablespoons extra virgin olive oil', '1 medium onion, chopped, about 1 cup', '3 garlic cloves, minced', '1-3 chipotles chiles in adobo (canned), minced fine and sauce reserved', '1 28-ounce can crushed tomatoes (preferably fire-roasted)', '1 teaspoon dried oregano', '1/2 cup beef or chicken broth']",17,"['1 Preheat oven to 400\\xc2\\xb0F.', ""2 Mix meatball ingredients: Mix all the meatball ingredients together in a large bowl and mix well with your clean hands for a minute or two. You want the mixture to be well integrated, but you don't want to overwork it or the meatballs will be tough."", '3 Form into meatballs and bake: With wet hands or an ice cream scoop, form meat into about 16 plum-size balls and space them out in a 13-by-9-inch baking dish, or, if you have one, a mini-muffin tin. Bake at 400\\xc2\\xb0F until lightly browned, about 15 minutes.', '4 Make the sauce: While meatballs bake, heat the olive oil in a saut\\xc3\\xa9 pan over medium-high heat and saut\\xc3\\xa9 the onions until they just start to brown. Add the garlic and cook for 1 minute.', 'Add the minced chipotles, the can of tomatoes, oregano or mint, and beef broth. Mix well and add salt to taste. If you want more chipotle flavor, add the reserved chipotle sauce spoonful by spoonful, mixing and tasting between spoonfuls. Simmer the sauce uncovered as the meatballs cook.', '5 Toss meatballs with sauce to serve: When meatballs are ready, put them into the sauce and toss to coat. If the sauce is too thin for your taste, continue to boil it down for a few minutes. Otherwise, serve with rice, tortillas or polenta. Garnish with cilantro to serve.']",6
